keyword,icon_name,background_color,animation,description_ja
happiness,smile,linear-gradient(135deg #fef3c7 #fbbf24),bounce,幸せな気持ちを表現
emotion,heart,linear-gradient(135deg #fecaca #f87171),pulse,感情を表現
food,utensils,linear-gradient(135deg #dcfce7 #4ade80),shake,食べ物に関連
rest,moon,linear-gradient(135deg #e0e7ff #8b5cf6),fade,休息を表現
weather,sun,linear-gradient(135deg #fed7aa #fb923c),rotate,天気を表現
work,briefcase,linear-gradient(135deg #e5e7eb #6b7280),slide,仕事を表現
education,book-open,linear-gradient(135deg #dbeafe #3b82f6),flip,教育を表現
medical,heart-pulse,linear-gradient(135deg #f0fdf4 #22c55e),pulse,医療を表現
location,map-pin,linear-gradient(135deg #fef7cd #eab308),bounce,場所を表現
home,home,linear-gradient(135deg #fdf4ff #d946ef),glow,家を表現
school,graduation-cap,linear-gradient(135deg #ecfccb #84cc16),rotate,学校を表現
travel,plane,linear-gradient(135deg #cffafe #06b6d4),fly,旅行を表現
fruit,apple,linear-gradient(135deg #fef3c7 #fbbf24),bounce,果物を表現
reading,book,linear-gradient(135deg #e0e7ff #8b5cf6),flip,読書を表現
pets,paw-print,linear-gradient(135deg, #fecaca, #f87171),wiggle,ペットを表現
entertainment,play,linear-gradient(135deg, #e0e7ff, #8b5cf6),spin,娯楽を表現
sports,zap,linear-gradient(135deg, #dcfce7, #4ade80),bounce,スポーツを表現
introduction,user,linear-gradient(135deg, #fdf4ff, #d946ef),wave,自己紹介を表現
people,users,linear-gradient(135deg, #e5e7eb, #6b7280),fade,人々を表現
reason,help-circle,linear-gradient(135deg, #fed7aa, #fb923c),pulse,理由を表現
greeting,hand,linear-gradient(135deg, #fef3c7, #fbbf24),wave,挨拶を表現
time,clock,linear-gradient(135deg, #cffafe, #06b6d4),tick,時間を表現
preference,thumbs-up,linear-gradient(135deg, #dcfce7, #4ade80),bounce,好みを表現
nostalgia,camera,linear-gradient(135deg, #e0e7ff, #8b5cf6),fade,懐かしさを表現
memory,brain,linear-gradient(135deg, #fdf4ff, #d946ef),pulse,記憶を表現
outdoor,tree,linear-gradient(135deg, #ecfccb, #84cc16),sway,屋外を表現
study,pencil,linear-gradient(135deg, #dbeafe, #3b82f6),write,勉強を表現
ability,star,linear-gradient(135deg, #fef3c7, #fbbf24),twinkle,能力を表現
past_ability,rewind,linear-gradient(135deg, #e5e7eb, #6b7280),reverse,過去の能力を表現
future,arrow-right,linear-gradient(135deg, #dcfce7, #4ade80),slide,未来を表現
polite,gift,linear-gradient(135deg, #fecaca, #f87171),present,丁寧さを表現
advice,lightbulb,linear-gradient(135deg, #fed7aa, #fb923c),glow,アドバイスを表現
obligation,alert-circle,linear-gradient(135deg, #fee2e2, #ef4444),alert,義務を表現
possibility,help-circle,linear-gradient(135deg, #e0e7ff, #8b5cf6),question,可能性を表現
uncertainty,cloud,linear-gradient(135deg, #f3f4f6, #9ca3af),drift,不確実性を表現
experience,map,linear-gradient(135deg, #ecfdf5, #10b981),explore,経験を表現
completion,check-circle,linear-gradient(135deg, #dcfce7, #4ade80),complete,完了を表現
combination,link,linear-gradient(135deg, #fef3c7, #fbbf24),connect,組み合わせを表現
contrast,divide,linear-gradient(135deg, #e5e7eb, #6b7280),split,対比を表現
choice,fork,linear-gradient(135deg, #fed7aa, #fb923c),branch,選択を表現
reason_complex,search,linear-gradient(135deg, #e0e7ff, #8b5cf6),discover,複雑な理由を表現
time_clause,calendar,linear-gradient(135deg, #cffafe, #06b6d4),schedule,時間節を表現
success,trophy,linear-gradient(135deg, #fef3c7, #fbbf24),victory,成功を表現
condition,key,linear-gradient(135deg, #fdf4ff, #d946ef),unlock,条件を表現
opinion,message-circle,linear-gradient(135deg, #e0e7ff, #8b5cf6),chat,意見を表現
personality,heart,linear-gradient(135deg, #fecaca, #f87171),warm,性格を表現
relative,arrow-right-left,linear-gradient(135deg, #e5e7eb, #6b7280),relate,関係を表現
kindness,smile,linear-gradient(135deg, #dcfce7, #4ade80),kind,親切さを表現
perfect,diamond,linear-gradient(135deg, #fef3c7, #fbbf24),sparkle,完了を表現
perfect_negative,x-circle,linear-gradient(135deg, #fee2e2, #ef4444),negative,完了否定を表現
perfect_recent,clock,linear-gradient(135deg, #cffafe, #06b6d4),recent,最近の完了を表現
waiting,hourglass,linear-gradient(135deg, #f3f4f6, #9ca3af),wait,待機を表現
arrival,plane-landing,linear-gradient(135deg, #dcfce7, #4ade80),land,到着を表現
diet,salad,linear-gradient(135deg, #ecfccb, #84cc16),healthy,食事を表現
frequency,repeat,linear-gradient(135deg, #e0e7ff, #8b5cf6),cycle,頻度を表現
comparison,balance-scale,linear-gradient(135deg, #fed7aa, #fb923c),compare,比較を表現
skill,target,linear-gradient(135deg, #fef3c7, #fbbf24),aim,技能を表現
beauty,flower,linear-gradient(135deg, #fdf4ff, #d946ef),bloom,美しさを表現
class,users,linear-gradient(135deg, #e5e7eb, #6b7280),group,クラスを表現
problem_solving,puzzle,linear-gradient(135deg, #e0e7ff, #8b5cf6),solve,問題解決を表現
default,circle,linear-gradient(135deg, #f3f4f6, #9ca3af),fade,デフォルト表現