word,rhyming,nonRhyming1,nonRhyming2,nonRhyming3
cat,hat,dog,sun,pen
dog,log,cat,fish,bird
sun,run,moon,star,cloud
moon,spoon,star,sun,cloud
star,car,moon,sun,cloud
pen,hen,box,tree,ball
box,fox,car,hat,run
tree,free,pen,log,cat
ball,fall,box,hen,fox
fish,dish,bird,tree,free
bird,word,fish,ball,fall
hat,cat,dog,sun,pen
log,dog,cat,fish,bird
run,sun,moon,star,cloud
spoon,moon,star,sun,cloud
car,star,moon,sun,cloud
hen,pen,box,tree,ball
fox,box,car,hat,run
free,tree,pen,log,cat
fall,ball,box,hen,fox
dish,fish,bird,tree,free
word,bird,fish,ball,fall
book,look,cake,bike,kite
look,book,cake,bike,kite
cake,make,book,look,bike
make,cake,book,look,bike
bike,like,cake,make,kite
like,bike,cake,make,kite
kite,light,book,look,cake
light,kite,book,look,cake
boat,coat,train,plane,truck
coat,boat,train,plane,truck
train,rain,boat,coat,plane
rain,train,boat,coat,plane
plane,chain,boat,coat,truck
chain,plane,boat,coat,truck
truck,duck,train,rain,chain
duck,truck,train,rain,chain
house,mouse,chair,table,door
mouse,house,chair,table,door
chair,hair,house,mouse,table
hair,chair,house,mouse,table
table,stable,house,mouse,door
stable,table,house,mouse,door
door,floor,chair,hair,stable
floor,door,chair,hair,stable
red,bed,blue,green,yellow
bed,red,blue,green,yellow
blue,TRUE,red,bed,green
TRUE,blue,red,bed,green
green,seen,red,bed,yellow
seen,green,red,bed,yellow
yellow,hello,blue,TRUE,seen
hello,yellow,blue,TRUE,seen
big,pig,small,tall,short
pig,big,small,tall,short
small,ball,big,pig,tall
tall,wall,big,pig,short
wall,tall,big,pig,short
short,sport,small,ball,wall
sport,short,small,ball,wall
happy,snappy,sad,mad,glad
snappy,happy,sad,mad,glad
sad,bad,happy,snappy,mad
bad,sad,happy,snappy,mad
mad,glad,happy,snappy,bad
glad,mad,happy,snappy,bad
good,food,bad,sad,mad
food,good,bad,sad,mad
bad,sad,good,food,mad
sad,bad,good,food,mad
mad,glad,good,food,sad
glad,mad,good,food,sad